region,category_le,mode_le,powertrain_oe,param_EV sales,param_EV sales share,param_EV stock,param_EV stock share,unit_Vehicles,unit_percent,value_scaled,year_scaled
Belgium,0,0,3.0,0,0,0,1,0,1,-0.0924778372965524,-1.254576282424356
Belgium,0,1,1.0,0,0,1,0,1,0,-0.09150447156010011,-1.254576282424356
Belgium,0,1,2.0,0,0,1,0,1,0,-0.09247621881767248,-1.254576282424356
Belgium,0,1,3.0,0,1,0,0,0,1,-0.0924776706641738,-1.254576282424356
Belgium,0,1,1.0,1,0,0,0,1,0,-0.09237887910935878,-1.254576282424356
Belgium,0,1,0.0,0,0,1,0,1,0,-0.09049807796567032,-1.254576282424356
Belgium,0,1,0.0,1,0,0,0,1,0,-0.09165295586091762,-1.254576282424356
Belgium,0,2,0.0,0,0,1,0,1,0,-0.09176844365044234,-1.254576282424356
Belgium,0,2,0.0,1,0,0,0,1,0,-0.09176844365044234,-1.254576282424356
Belgium,0,0,0.0,0,0,1,0,1,0,-0.09247291916654321,-1.254576282424356
Belgium,0,0,0.0,0,0,1,0,1,0,-0.09246631986428465,-0.9850936484934245
Belgium,0,2,0.0,1,0,0,0,1,0,-0.09231453591233786,-0.9850936484934245
Belgium,0,0,3.0,0,0,1,0,1,0,-0.09242507422516867,-0.9850936484934245
Belgium,0,2,0.0,0,0,1,0,1,0,-0.09161995934962484,-0.9850936484934245
Belgium,0,1,0.0,1,0,0,0,1,0,-0.09033309540920642,-0.9850936484934245
Belgium,0,1,0.0,0,0,1,0,1,0,-0.08884825240103131,-0.9850936484934245
Belgium,0,0,0.0,1,0,0,0,1,0,-0.09247291916654321,-0.9850936484934245
Belgium,0,1,3.0,0,1,0,0,0,1,-0.09247719221476153,-0.9850936484934245
Belgium,0,1,2.0,0,0,1,0,1,0,-0.09247456899210785,-0.9850936484934245
Belgium,0,1,0.0,0,0,1,0,1,0,-0.09000313029627861,-0.9850936484934245
Belgium,0,1,1.0,1,0,0,0,1,0,-0.09140548202622177,-0.9850936484934245
Belgium,0,0,3.0,0,0,0,1,0,1,-0.09247747268511046,-0.9850936484934245
Belgium,0,2,3.0,0,1,0,0,0,1,-0.09247757167462368,-0.9850936484934245
Belgium,0,2,3.0,0,0,0,1,0,1,-0.09247758817288819,-0.9850936484934245
Belgium,0,0,3.0,0,1,0,0,0,1,-0.09247743968860606,-0.9850936484934245
Belgium,0,1,3.0,0,0,0,1,0,1,-0.09247775810492154,-0.9850936484934245
Belgium,0,1,3.0,0,0,0,1,0,1,-0.09247765416592159,-0.715611014562493
Belgium,0,2,3.0,0,0,0,1,0,1,-0.09247772840806265,-0.715611014562493
Belgium,0,2,3.0,0,1,0,0,0,1,-0.09247768716242599,-0.715611014562493
Belgium,0,0,3.0,0,0,0,1,0,1,-0.09247699423573506,-0.715611014562493
Belgium,0,1,1.0,1,0,0,0,1,0,-0.09176844365044234,-0.715611014562493
Belgium,0,1,1.0,0,0,1,0,1,0,-0.0862085314976089,-0.715611014562493
Belgium,0,1,2.0,0,0,1,0,1,0,-0.09246467003872001,-0.715611014562493
Belgium,0,1,3.0,0,1,0,0,0,1,-0.09247659827758382,-0.715611014562493
Belgium,0,1,0.0,0,0,1,0,1,0,-0.0870334442799284,-0.715611014562493
Belgium,0,1,2.0,1,0,0,0,1,0,-0.09247456899210785,-0.715611014562493
Belgium,0,1,0.0,1,0,0,0,1,0,-0.09016811285274251,-0.715611014562493
Belgium,0,2,0.0,0,0,1,0,1,0,-0.09153746807139289,-0.715611014562493
Belgium,0,0,1.0,0,0,1,0,1,0,-0.092345882598066,-0.715611014562493
Belgium,0,2,0.0,1,0,0,0,1,0,-0.09236568050484167,-0.715611014562493
